,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
0,Aamer Azmat,5,1,1.0,0,3,0,-,-,3.00,-,0,0,3,0,2021/2022,Multan Sultans
1,Aamer Yamin,5,5,11.0,0,113,1,1/36,113.00,10.27,66.0,0,0,1,0,2021/2022,Karachi Kings
2,Abbas Afridi,5,5,15.0,0,127,3,1/20,42.33,8.46,30.0,0,0,0,0,2021/2022,Multan Sultans
3,Abdullah Shafique,11,-,-,-,-,-,-,-,-,-,-,-,7,0,2021/2022,Lahore Qalandars
4,Abdul Bangalzai,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Quetta Gladiators
5,Ahsan Ali,8,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Quetta Gladiators
6,Ali Majid,1,1,4.0,0,33,0,-,-,8.25,-,0,0,0,0,2021/2022,Peshawar Zalmi
7,Amad Butt,2,2,6.0,0,46,1,1/20,46.00,7.66,36.0,0,0,1,0,2021/2022,Peshawar Zalmi
8,Anwar Ali,4,4,9.0,0,79,2,1/11,39.50,8.77,27.0,0,0,5,0,2021/2022,Multan Sultans
9,Arish Ali,1,1,3.0,0,36,0,-,-,12.00,-,0,0,0,0,2021/2022,Peshawar Zalmi
10,Arshad Iqbal,1,1,4.0,0,30,2,2/30,15.00,7.50,12.0,0,0,0,0,2021/2022,Peshawar Zalmi
11,Ashir Qureshi,4,2,7.0,0,61,1,1/31,61.00,8.71,42.0,0,0,0,0,2021/2022,Quetta Gladiators
12,Asif Afridi,5,5,19.0,1,124,8,3/19,15.50,6.52,14.2,0,0,1,0,2021/2022,Multan Sultans
13,Asif Ali,12,1,3.0,0,27,2,2/27,13.50,9.00,9.0,0,0,7,0,2021/2022,Islamabad United
14,Athar Mahmood,3,3,8.0,0,49,0,-,-,6.12,-,0,0,1,0,2021/2022,Islamabad United
15,Azam Khan,12,-,-,-,-,-,-,-,-,-,-,-,6,3,2021/2022,Islamabad United
16,Babar Azam,10,-,-,-,-,-,-,-,-,-,-,-,9,0,2021/2022,Karachi Kings
17,HC Brook,10,-,-,-,-,-,-,-,-,-,-,-,5,0,2021/2022,Lahore Qalandars
18,PR Brown,2,2,7.0,0,61,0,-,-,8.71,-,0,0,2,0,2021/2022,Peshawar Zalmi
19,J Charles,2,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Multan Sultans
20,JM Clarke,8,-,-,-,-,-,-,-,-,-,-,-,2,1,2021/2022,Karachi Kings
21,IA Cockbain,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Karachi Kings
22,BCJ Cutting,9,3,6.5,0,68,1,1/37,68.00,9.95,41.0,0,0,8,0,2021/2022,Peshawar Zalmi
23,Danish Aziz,3,1,0.2,0,6,0,-,-,18.00,-,0,0,0,0,2021/2022,Islamabad United
24,TH David,11,3,4.0,0,38,1,1/4,38.00,9.50,24.0,0,0,10,0,2021/2022,Multan Sultans
25,LA Dawson,7,7,23.3,1,159,9,3/16,17.66,6.76,15.6,0,0,1,0,2021/2022,Islamabad United
26,M de Lange,5,5,15.0,0,153,2,1/32,76.50,10.20,45.0,0,0,2,0,2021/2022,Islamabad United
27,BM Duckett,4,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Quetta Gladiators
28,BR Dunk,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Lahore Qalandars
29,Faheem Ashraf,10,10,34.0,0,284,9,3/28,31.55,8.35,22.6,0,0,4,0,2021/2022,Islamabad United
30,Fakhar Zaman,13,-,-,-,-,-,-,-,-,-,-,-,8,0,2021/2022,Lahore Qalandars
31,JP Faulkner,6,6,20.0,0,196,6,2/47,32.66,9.80,20.0,0,0,0,0,2021/2022,Quetta Gladiators
32,Fawad Ahmed,1,1,4.0,0,26,2,2/26,13.00,6.50,12.0,0,0,1,0,2021/2022,Lahore Qalandars
33,D Foxcroft,1,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Lahore Qalandars
34,Ghulam Mudassar,5,5,17.0,0,193,5,2/43,38.60,11.35,20.4,0,0,1,0,2021/2022,Quetta Gladiators
35,L Gregory,7,6,14.0,0,127,1,1/22,127.00,9.07,84.0,0,0,6,0,2021/2022,Karachi Kings
36,Haider Ali,9,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Peshawar Zalmi
37,AD Hales,9,-,-,-,-,-,-,-,-,-,-,-,4,0,2021/2022,Islamabad United
38,Haris Rauf,13,13,51.4,0,470,16,3/33,29.37,9.09,19.3,0,0,6,0,2021/2022,Lahore Qalandars
39,Hasan Ali,9,9,33.4,0,365,9,3/30,40.55,10.84,22.4,0,0,2,0,2021/2022,Islamabad United
40,Hassan Khan,2,2,6.4,0,69,0,-,-,10.35,-,0,0,0,0,2021/2022,Quetta Gladiators
41,Hazratullah Zazai,7,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Peshawar Zalmi
42,BAC Howell,1,1,3.3,0,34,1,1/34,34.00,9.71,21.0,0,0,0,0,2021/2022,Peshawar Zalmi
43,Hussain Talat,9,6,17.0,0,134,4,1/8,33.50,7.88,25.5,0,0,1,0,2021/2022,Peshawar Zalmi
44,Iftikhar Ahmed,10,8,9.3,0,92,2,1/2,46.00,9.68,28.5,0,0,9,0,2021/2022,Quetta Gladiators
45,Ihsanullah,2,2,3.2,0,23,1,1/20,23.00,6.90,20.0,0,0,0,0,2021/2022,Multan Sultans
46,Imad Wasim,9,9,35.0,0,239,6,2/30,39.83,6.82,35.0,0,0,2,0,2021/2022,Karachi Kings
47,Imran Khan,3,3,10.4,0,129,0,-,-,12.09,-,0,0,1,0,2021/2022,Multan Sultans
48,Imran Tahir,12,12,46.0,0,298,16,3/16,18.62,6.47,17.2,0,0,2,0,2021/2022,Multan Sultans
49,WG Jacks,2,-,-,-,-,-,-,-,-,-,-,-,3,0,2021/2022,Islamabad United
50,CJ Jordan,5,5,20.0,0,189,9,3/41,21.00,9.45,13.3,0,0,1,0,2021/2022,Karachi Kings
51,Kamran Akmal,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Peshawar Zalmi
52,Kamran Ghulam,13,5,8.0,0,73,1,1/15,73.00,9.12,48.0,0,0,1,0,2021/2022,Lahore Qalandars
53,Khalid Usman,2,2,8.0,0,42,2,1/17,21.00,5.25,24.0,0,0,0,0,2021/2022,Peshawar Zalmi
54,Khurram Shahzad,2,2,8.0,0,62,5,4/22,12.40,7.75,9.6,1,0,1,0,2021/2022,Quetta Gladiators
55,Khushdil Shah,12,12,32.2,0,223,16,4/35,13.93,6.89,12.1,1,0,7,0,2021/2022,Multan Sultans
56,T Kohler-Cadmore,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Peshawar Zalmi
57,TA Lammonby,3,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Karachi Kings
58,LS Livingstone,4,4,13.0,0,112,2,1/22,56.00,8.61,39.0,0,0,3,0,2021/2022,Peshawar Zalmi
59,S Mahmood,2,2,7.0,0,81,2,2/44,40.50,11.57,21.0,0,0,2,0,2021/2022,Peshawar Zalmi
60,Mir Hamza,4,4,16.0,0,114,8,4/27,14.25,7.12,12.0,1,0,0,0,2021/2022,Karachi Kings
61,Mohammad Hafeez,13,8,18.0,0,117,6,2/23,19.50,6.50,18.0,0,0,4,0,2021/2022,Lahore Qalandars
62,Mohammad Haris,5,-,-,-,-,-,-,-,-,-,-,-,5,1,2021/2022,Peshawar Zalmi
63,Mohammad Hasnain,3,3,9.0,0,76,3,2/27,25.33,8.44,18.0,0,0,1,0,2021/2022,Quetta Gladiators
64,Mohammad Huraira,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Islamabad United
65,Mohammad Ilyas,3,3,6.0,0,71,1,1/2,71.00,11.83,36.0,0,0,0,0,2021/2022,Karachi Kings
66,Mohammad Imran,3,3,10.0,0,93,1,1/23,93.00,9.30,60.0,0,0,0,0,2021/2022,Karachi Kings
67,Mohammad Irfan,2,2,7.3,0,56,2,1/28,28.00,7.46,22.5,0,0,0,0,2021/2022,Quetta Gladiators
68,Mohammad Nabi,9,9,31.2,0,213,5,2/17,42.60,6.79,37.6,0,0,3,0,2021/2022,Karachi Kings
69,Mohammad Nawaz,5,5,15.0,0,126,6,3/44,21.00,8.40,15.0,0,0,2,0,2021/2022,Quetta Gladiators
70,Mohammad Rizwan,12,-,-,-,-,-,-,-,-,-,-,-,7,2,2021/2022,Multan Sultans
71,Mohammad Taha,5,1,4.0,0,32,0,-,-,8.00,-,0,0,0,0,2021/2022,Karachi Kings
